name,link,review
Moonlight (2016),https://www.rottentomatoes.com/m/moonlight_2016,nicholas britells heartrending music underlining moonlight still feels abundantly fresh gift one worth keeping rich narrative jenkins delivers something different entirely quiet understated gem
All About Eve (1950),https://www.rottentomatoes.com/m/1000626-all_about_eve,one unfortunately hollywood doesnt turn success depend almost entirely scintillating stimulating extraordinary achievement consistently scintillating head year even better vivid fullblown persons
Sunset Boulevard (1950),https://www.rottentomatoes.com/m/sunset_boulevard,amazing silent screen star gloria swanson makes oldfashioned kind plus elegant perceptive characterization often uniquely besets careers remarkable pictures ever produced make sunset boulevard one superb detailed evocative
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari,achieve radically luminous social ends rich cubist backgrounds instead popeyed terror lunatics murderers hairraising film melodrama produced dr caligari illustrates something two main elements story
The Philadelphia Story (1940),https://www.rottentomatoes.com/m/philadelphia_story,blue ribbon gold medal knockoutinoneround class almost equally bright additional stewart dialogue everybody delicately detailed characterizations full philadelphia story offers brandnew ideas film light comedy trips along hepburn genius long left asmouldering
Roma (2018),https://www.rottentomatoes.com/m/roma_2018,rare something thats intimate yet also grand alfonso cuarons new film roma gives magical realism without ever hinting pure stunning cinematic technique mexican writerdirectorcinematographereditor transforms even cuaróns films cinema conjures
Wonder Woman (2017),https://www.rottentomatoes.com/m/wonder_woman_2017,decent plot gal gadots nuanced performance speaks volumes wonder woman flips nearly every gendered superhero trope always open shes always receiving learning responding dc extended universe dceu thus far battering finale production designer aline bonetto amid stunning visuals wellcrafted action sequences
A Star Is Born (2018),https://www.rottentomatoes.com/m/a_star_is_born_2018,pop singer lady gaga hugely affecting love story lady gagas story right emotional highs poignantly movingly well incorporates little elements
Inside Out (2015),https://www.rottentomatoes.com/m/inside_out_2015,year psychologically astute witty imaginative utterly captivating quite literally cerebral bent wistful little film plays ronaldo del carmen may outright fun film pixar trouble fully connecting
A Quiet Place (2018),https://www.rottentomatoes.com/m/a_quiet_place_2018,breathless opening reveals krasinskis sophisticated filmmaking approach setting acted horror movies ive seen ableist society often fearful movie takes us firmly suspenseful horror thriller several levels including
Eighth Grade (2018),https://www.rottentomatoes.com/m/eighth_grade,cut across generational boundaries genuinely great comingofage movie director bo burnham may teenage girl full review great darknessbo burnham singular sensitivity burnham
Rebecca (1940),https://www.rottentomatoes.com/m/1017293-rebecca,creepy colorful way miss du mauriers forbidding fascinating story beach watersoaked corpses inquests forbidden chambers miss du mauriers lavish fantasy vulgar mrs van hopper three women judith anderson sensitive beautifully projected portrayal
His Girl Friday (1940),https://www.rottentomatoes.com/m/his_girl_friday,occupying new york screens since slick conniving managing editor real girl friday reports smartly acted dialoged oppressively sad stories jibes march across
Booksmart (2019),https://www.rottentomatoes.com/m/booksmart,comedy teens need today certainly isnt smart funny rude cheerful likeable movie witty raucous perfectly played marketing term elevated genre jaw dropping directorial debut highly specific fantasy also
Logan (2017),https://www.rottentomatoes.com/m/logan_2017,typical superheromovie tropes feels organic katie holmes might look like still read comic books color film doesnt feel like another expensive throwaway aimed mutual xmen swan song
Coco (2017),https://www.rottentomatoes.com/m/coco_2017,superbly polished technically flawless family film academy award winner lee unkrich pixar veteran adrian molina coco victorious denouement offers everyone sobbing without knowing exactly peerless output toy story
Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire,even without showing men onscreen sciamma depicts thrillingly versatile filmmaker céline sciamma many great acting moments looking female looking specifically slow burn sure profile put simply
A Night at the Opera (1935),https://www.rottentomatoes.com/m/1015002-night_at_the_opera,picture offers something new hand plot gives place picking ones pet scenes marx brothers funniest picture opera starring groucho harpo uproarious high spots
Dunkirk (2017),https://www.rottentomatoes.com/m/dunkirk_2017,viewer simply doesnt play overwhelming almost physical experience terrifying thrilling essence strange problem posed masterful visual storytelling emotionally resonant glimpse
Star Wars: The Last Jedi (2017),https://www.rottentomatoes.com/m/star_wars_the_last_jedi,spirited continuation sometimes spectacular often humorous airpunching interludes accelerates eliciting gasps cheers rian johnson leavens political high seriousness biggest downer ever delivered mentorship thats invigorating rather keep going becomes one
Thor: Ragnarok (2017),https://www.rottentomatoes.com/m/thor_ragnarok_2017,bad flick despite hollywoods best efforts transformed chris hemsworths buff brooding superhero match taika waititis thor humor fun cue immigrant song far glossierlooking black panther crackling script thor ragnarok
The Shape of Water (2017),https://www.rottentomatoes.com/m/the_shape_of_water_2017,undergarlanded maudie sally hawkins reminds us empire state building exactly beautifully imagined world rich film doesnt shy away turning robust fragility sounds ridiculous yet
Spotlight (2015),https://www.rottentomatoes.com/m/spotlight_2015,story right without embellishment without melodramatic editorial excess uniformly strong ensemble cast largely avoids wonderfully livedin behavioral details howard shores sober score ruffalo gets top billing spotlight giving center stage
The Farewell (2019),https://www.rottentomatoes.com/m/the_farewell_2019,lovely warm family picture featuring satisfying bittersweet wedding banquet different interpersonal relationships within bracing honesty simply put wangs family story mainly come afterwards
Selma (2014),https://www.rottentomatoes.com/m/selma,ive ever seen giving us feel like youre seeing effective wellcrafted historical biopics deftly almost astonishingly welldirected powerful moments ive seen use kings original speeches
Rear Window (1954),https://www.rottentomatoes.com/m/1017289-rear_window,linear way slowly creating tension bit chilling final 10 minutes murder mystery rear window many months rear window alfred hitchcocks masterpieces moving masters touch rear window
The Third Man (1949),https://www.rottentomatoes.com/m/the_third_man,carol reeds immortal 1949 film noir seems harry lime welless deliciously elusive antihero vienna becomes something altogether different seen supremely witty entertainments felt passé pulpy narratives could take dank matte defeated city
Seven Samurai (Shichinin no Samurai) (1956),https://www.rottentomatoes.com/m/seven_samurai_1956,leading japanese stage actor given inspired performances revealed form including slomo deaths blustering bragging comical warrior director akira kurosawa must battle photography incessant movement
Singin' in the Rain (1952),https://www.rottentomatoes.com/m/singin_in_the_rain,another mighty fine mgm technicolor musical comedy produced paris copped seven academy awards last week 2001 arizonanew york world series taj mahal armstrongs footprint hammer away like roaddrills musical numbers especially
E.T. The Extra-Terrestrial (1982),https://www.rottentomatoes.com/m/et_the_extraterrestrial,history laughter tears involvement thrills wonderment steven spielberg also adds typical suburban kid set apart best cinematic fairy tale since childlike wonderment without infantilizing disarmingly funny spontaneous bighearted times steven spielbergs fantasy
La Grande illusion (Grand Illusion) (1938),https://www.rottentomatoes.com/m/la_grande_illusion,understated antiwar films ever made effortlessly humanistic vividly humanist antiwar classic makes sweeping rhetorical statements funny heartwrenching nailbiting caustic movie ever made wholly imperishable masterpiece
Arrival (2016),https://www.rottentomatoes.com/m/arrival_2016,drug war drama sicario even though equal parts denis villeneuves latest symphonic pacing showcased last year quintessential sciencefiction blockbuster steeped precisely makes us human loose conceptual foundation upon
Double Indemnity (1944),https://www.rottentomatoes.com/m/double_indemnity,mr fred macmurray mr edward g robinson given many interesting portrayals director billy wilder goes almost cruelly exciting picture well worn situations unusually intelligent direction
The Favourite (2018),https://www.rottentomatoes.com/m/the_favourite_2018,yorgos lanthimos dryly funny historical feature woman unsure whether shes child crown like youve never seen astonishingly weird dance scene yet dark views like sunny views ill definitely keep watching
All Quiet on the Western Front (1930),https://www.rottentomatoes.com/m/1000642-all_quiet_on_the_western_front,mr louis wolhein brilliantly succeeds trench warfare brave steady crafty photography arc amazingly good news reel actually taken human beings whose fate western front strips war
Snow White and the Seven Dwarfs (1937),https://www.rottentomatoes.com/m/1048445-snow_white_and_the_seven_dwarfs,another every animated feature made since owes darker sequences snow whites terrified entry expressionist visual devices makes film approaches real greatness first animated feature snow whites afterbirth
Marriage Story (2019),https://www.rottentomatoes.com/m/marriage_story_2019,noah baumbachs latest film portrays often feel hokey sanitized divorce could look like little talkedabout aspects commentary dont translate best savoured alone
The Big Sick (2017),https://www.rottentomatoes.com/m/the_big_sick,kitten juggling spoons cute clever real characters living real lives isnt saying much admittedly film gradually accumulates funny vin dieselwatching men surprising details many
An American in Paris (1951),https://www.rottentomatoes.com/m/american_in_paris,paris offers wit beauty charm smart dancing happy music melodious singing paris never lets lovers forget scene wherein leslie leaving musical scenes ever filmed fluid beautifully picturesque affair mir kelly miss caron
The Kid (1921),https://www.rottentomatoes.com/m/1052609-kid,best motion picture comedy ever made always chaplins opulent victorian sentimentality comedian depends chiefly upon chaplins first fulllength film first child picture scores every time
Star Wars: Episode VII - The Force Awakens (2015),https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens,spontaneous gasps cheers laughs whoops initial star wars episode iv force awakens gives new life actors breathe vulnerability fallibility anguish whats really surprising force awakens hes made
On the Waterfront (1954),https://www.rottentomatoes.com/m/on_the_waterfront,miss saint mr cobb mr karl malden exciting brilliant electric job replete ones mind concerning brandos ability sometimes great art like wagners miss marlon brandos performance discords mr brando sets
Metropolis (1927),https://www.rottentomatoes.com/m/1013775-metropolis,one eddying concentration almost every possible foolishness cliché platitude fritz langs 1927 epic metropolis spliced together quite adroitly german film metropolis well repay study separate cinematographic technique
The Best Years of Our Lives (1946),https://www.rottentomatoes.com/m/best_years_of_our_lives,daughter cathy odonnell new goldwyn discovery ls wistful emotionally moving motion pictures weve ever seen teresa wright marchs genuinely charming wife robert e sherwood supple direction harold russell give faultless performances least one actor frederic march
Gravity (2013),https://www.rottentomatoes.com/m/gravity_2013,truly popular bigbudget hollywood movie survival drama set almost entirely alfonso cuaróns feature brilliantly contrives gravitys technical parts work together spirituality religion birth rebirth technical marvel appropriately breathtaking
Boyhood (2014),https://www.rottentomatoes.com/m/boyhood,little texas boy named ellar coltrane feels like especially worthy praise weighty themes feel nonchalant effortless remarkable production would suggest casting 13 years ago given us nothing less
The Maltese Falcon (1941),https://www.rottentomatoes.com/m/1013139-maltese_falcon,british alfred hitchcock carol reed et al fritz lang filmdoms ace thriller directors suspenseful melodramatic story telling topflight scenarist john huston messrs alfred hitchcock strange dreamlike tension
Leave No Trace (2018),https://www.rottentomatoes.com/m/leave_no_trace,graniks films also convey director debra granik focuses characters without ever judging debra granik directs graniks starmaking instincts witness toms epiphany
12 Years a Slave (2013),https://www.rottentomatoes.com/m/12_years_a_slave,british turner prizewinning artist turned filmmaker hunger shame anything critics accused django unchained slave makes us feel deeply make us cry 12 years hunger never shies away movie wastes little time
The Invisible Man (2020),https://www.rottentomatoes.com/m/the_invisible_man_2020,real psychological thrillera good strong film affirm rich white tech bros invisible man filmmaker leigh whannell sevenoctave actor equally happy really demanding role physically irksomely urbane death comes
Once Upon a Time In Hollywood (2019),https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood,gloriously recreated past placidly hypnotised unusually fine ensemble cast theres something potentially dangerous stunningly evoked hollywood past director quentin tarantino pulls two separate ideas
Argo (2012),https://www.rottentomatoes.com/m/argo_2012,authenticity becomes purely theoretical creaky old moviemaking system keep things moving particularly teeth properly sharpened put together something one unlikely package
Manchester by the Sea (2016),https://www.rottentomatoes.com/m/manchester_by_the_sea,unassuageable pain loose ends untied life lessons unlearned life old fold kenneth lonergans new england community study another white male angst narrative lonergans painstaking directorial style outstandingly icy casey affleck mournful loner drawn back
The Adventures of Robin Hood (1938),https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood,mans robin hood handsome romantic flynn performs rousing lighthearted witty romantic colorful moralistic archetypal hollywood swashbuckler everything bigscreen derringdo quintessential robin hood jaunty dashing great 1938 film exists richly satisfying flynn
North by Northwest (1959),https://www.rottentomatoes.com/m/north-by-northwest,movie making miss saint effective crop dusting plane spraying bullets two seem completely en rapport alfred hitchcocks new thriller north well established shines brightly technicolor melodrama ramble across
Laura (1944),https://www.rottentomatoes.com/m/1012007-laura,subject matter behind still every bit people deliciously perverse gene tierney makes deathlessly interpretable experience weakwilled neerdowell
La La Land (2016),https://www.rottentomatoes.com/m/la_la_land,gorgeously photographed unashamedly nostalgic bittersweet marriage emma stones earthshattering performance theres plenty love found within la la land let something like la la land vanishing world la la land traditional proving chazelles fantastic eye
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",https://www.rottentomatoes.com/m/nosferatu,much effect upon ones slumbering hours starhe looks every bit like thing one could watch one certainly holds interest max schrecks immortal performance first important screen version
Incredibles 2 (2018),https://www.rottentomatoes.com/m/incredibles_2,sharply observed household comedy sublimely staged action youll gawp youll ponder youll laugh gender inequality family stress enough modernist eye candy brad birds incredibles 2 takes timely swipes
King Kong (1933),https://www.rottentomatoes.com/m/1011615-king_kong,mad movies like moulin rouge modern folk tale layered story like frankenstein scaring babies via exaggeration ad absurdum actions wholly enjoyable
Zootopia (2016),https://www.rottentomatoes.com/m/zootopia,modest unassuming entertainment thats motored zootopia pulls together various elements make zootopia feel current vividly realised richly detailed grownups alike zooptopia unfolds mostly entertaining animated film
The Bridge on the River Kwai (1957),https://www.rottentomatoes.com/m/bridge_on_the_river_kwai,dramatic high point among motion pictures engrossing validity director david lean proves big entertainment cinema moving toward mr david lean recovers unabashed adventure tale done picture runs 151 minutes
Spider-Man: Far From Home (2019),https://www.rottentomatoes.com/m/spider_man_far_from_home,samuel l jackson whose nick fury singlehandedly elevates endgame another mediocre villain heavy dose three dutch football fans much clunky shtick made european vacation schoolboy thing two hours without
Call Me by Your Name (2018),https://www.rottentomatoes.com/m/call_me_by_your_name,modernday visconti italian director luca guadagnino young people experiencing something wonderful poignant screenwriting keen directing love grants us entry visually stunning comingofage story guadagnino doesnt skim
Alien (1979),https://www.rottentomatoes.com/m/alien,want cinematic kicks ridley scotts massively successful alien sigourney weaver playing warrant officer ellen ripley ridley scotts great deepspace horror show mainly scifi horror masterpiece still feels lethally contemporary oncepromising director would soon trade gorgeous leisurely horror film expresses
Psycho (1960),https://www.rottentomatoes.com/m/psycho,paramount wont let anyone enter theatres premise boy meets girl tension surprise virtuosity recover lost innocence mostdaring avantgarde filmmaker intimate character study
Shadow of a Doubt (1943),https://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt,one would ever accuse alfred hitchcocks shadow tense dramatic scenes superbly acted alfred hitchcocks first indisputable masterpiece satisfying thrillers mostly thanks alfred hitchcock picture hitchcocks greatest film
L.A. Confidential (1997),https://www.rottentomatoes.com/m/la_confidential,jeannine oppewalls production design brilliantly recreate meaty script high production values dante spinottis widescreen camerawork wins new recognition sprawling story rich somewhat tawdry world
1917 (2020),https://www.rottentomatoes.com/m/1917_2019,importantthe film actually stops bringing everyone together technical brio however cannot redeem mackays stoic presence adding assassins creed video games really interesting well made one shocking set piece
War for the Planet of the Apes (2017),https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes,three apes prequels director matt reeves first blush like kiddie fare outright social issue drama digital cinema captures texture big story thats satisfying two main characters caesar
Paddington 2 (2018),https://www.rottentomatoes.com/m/paddington_2,good manners might seem like actually leaves us feeling terrific mannered yet carefree colorful jeanpierre jeunet swirled around childrens movie dont let wonderfully fluid sense
The Florida Project (2017),https://www.rottentomatoes.com/m/the_florida_project,dark social realism sean bakers wildly inventive style millennial instagram feed cute edgy explosive pithy another superbly sympathetic portrait filmmaker whose great triumph florida project absolutely sings sean bakers lens
Widows (2018),https://www.rottentomatoes.com/m/widows_2018,great ensemble cast steve mcqueen lets loose pulpy story simply doesnt warrant offers everything adults used largescale criminal activity widows truly sophisticated action film relentlessly portentous tone
A Hard Day's Night (1964),https://www.rottentomatoes.com/m/beatles_a_hard_days_night,part musical bonanza part laughoutloud farce part satirical social document breathless sometimes funny film maybe even worth miniskirts pursuing john paul george hard days night looks chaotic madcap concert tour farce hard days night adds
The Battle of Algiers (La Battaglia di Algeri) (1967),https://www.rottentomatoes.com/m/the_battle_of_algiers,finest war film ever made justtheugly facts objectivity nobody pseudodocumentary style still feels kinetic documentary effect making relentlessly gripping entertainment lionizes either side
"The Godfather, Part II (1974)",https://www.rottentomatoes.com/m/godfather_part_ii,despicable meyer lansky hood diane keaton michaels despairing wife robert duvall godfather part ii permits us director francis ford coppola godfather part ii really fine especially lee strasberg
Baby Driver (2017),https://www.rottentomatoes.com/m/baby_driver,affects us like adrenaline mixed wrights typically firstrate craftsmanship fails youre totally engrossed theres hugely entertaining movie one bolted together like clockwork though youve seen versions
Never Rarely Sometimes Always (2020),https://www.rottentomatoes.com/m/never_rarely_sometimes_always,enlightening script expert ensemble acting klaxon never rarely sometimes always never rarely sometimes always eliza hittmans script fills never stop feeling protective revealing film ever made
Spider-Man: Homecoming (2017),https://www.rottentomatoes.com/m/spider_man_homecoming,light touch makes spiderman homecoming one delightfully dorky high school saga strangely oblivious film one funny parts felt moved charming funny comingofage story familiar superhero one
Pain and Glory (Dolor y gloria) (2019),https://www.rottentomatoes.com/m/pain_and_glory,masterful melancholy tender lacerating selfexamination filled emotional facades bringing us closer typically rich layered film nearly two dozen features pedro almodóvars pensive nostalgic film director looking back
Top Hat (1935),https://www.rottentomatoes.com/m/top_hat,three fred astaire irving berlins 11 songs 1935 musical finds fred astaire one astairerogers musical top hat every musical number works third astairerogers movie supporting players towards
